Index,Date,Time,Repo,Revs,Newest Rev,Oldest Rev,Revs in the Last Month,Revs in the Last Year,Download Time,Download Revs per Second
147,2024-02-13,22:51:48,https://svn.apache.org/repos/asf/samza,177,2023-01-18,2013-08-01,0,0,7,25
148,2024-02-13,22:51:55,https://svn.apache.org/repos/asf/santuario,3953,2022-08-04,2005-12-01,0,0,30,131
149,2024-02-13,22:52:25,https://svn.apache.org/repos/asf/sentry,112,2018-10-10,2013-08-08,0,0,2,56
150,2024-02-13,22:52:27,https://svn.apache.org/repos/asf/serf,2540,2023-10-24,2003-09-16,0,1,20,127
151,2024-02-13,22:52:47,https://svn.apache.org/repos/asf/servicemix,22654,2020-09-05,2005-12-02,0,0,175,129
152,2024-02-13,22:55:42,https://svn.apache.org/repos/asf/shale,1618,2014-10-28,2005-01-22,0,0,10,161
153,2024-02-13,22:55:52,https://svn.apache.org/repos/asf/shindig,5369,2015-12-07,2007-12-06,0,0,41,130
154,2024-02-13,22:56:33,https://svn.apache.org/repos/asf/shiro,2205,2023-12-12,2008-06-11,0,1,34,64
155,2024-02-13,22:57:07,https://svn.apache.org/repos/asf/singa,272,2019-10-23,2015-04-21,0,0,5,54
156,2024-02-13,22:57:12,https://svn.apache.org/repos/asf/sis,6312,2023-10-14,2010-02-24,0,1,79,79
157,2024-02-13,22:58:31,https://svn.apache.org/repos/asf/sling,26900,2019-01-12,2007-09-09,0,0,244,110
158,2024-02-13,23:02:35,https://svn.apache.org/repos/asf/spamassassin,40613,2024-02-13,2003-12-23,1,1,251,161
159,2024-02-13,23:06:46,https://svn.apache.org/repos/asf/spark,395,2016-07-04,2013-07-08,0,0,11,35
160,2024-02-13,23:06:57,https://svn.apache.org/repos/asf/sqoop,647,2019-01-18,2011-06-14,0,0,7,92
161,2024-02-13,23:07:04,https://svn.apache.org/repos/asf/stanbol,4850,2018-12-01,2010-11-15,0,0,54,89
162,2024-02-13,23:07:58,https://svn.apache.org/repos/asf/stdcxx,3097,2014-05-16,2005-07-16,0,0,14,221
163,2024-02-13,23:08:12,https://svn.apache.org/repos/asf/steve,814,2021-03-12,2012-07-26,0,0,7,116
164,2024-02-13,23:08:19,https://svn.apache.org/repos/asf/storm,183,2017-08-02,2013-09-18,0,0,21,8
165,2024-02-13,23:08:40,https://svn.apache.org/repos/asf/stratos,672,2017-02-18,2013-06-27,0,0,6,112
166,2024-02-13,23:08:46,https://svn.apache.org/repos/asf/struts,13490,2015-04-10,2004-10-01,0,0,67,201
167,2024-02-13,23:09:53,https://svn.apache.org/repos/asf/subversion,85396,2024-02-04,2009-11-15,1,1,60,1423
168,2024-02-13,23:10:54,https://svn.apache.org/repos/asf/synapse,4924,2023-05-12,2005-08-22,0,1,37,133
169,2024-02-13,23:11:31,https://svn.apache.org/repos/asf/syncope,4130,2023-12-26,2012-02-10,0,1,81,50
170,2024-02-13,23:12:52,https://svn.apache.org/repos/asf/systemds,150,2021-06-07,2015-11-08,0,0,3,50
171,2024-02-13,23:12:55,https://svn.apache.org/repos/asf/tajo,161,2018-03-17,2013-03-21,0,0,4,40
172,2024-02-13,23:12:59,https://svn.apache.org/repos/asf/tapestry,9014,2022-11-26,2005-08-27,0,0,52,173
173,2024-02-13,23:13:51,https://svn.apache.org/repos/asf/tcl,2726,2018-08-16,2005-08-31,0,0,20,136
174,2024-02-13,23:14:11,https://svn.apache.org/repos/asf/tez,146,2022-09-20,2013-03-15,0,0,5,29
175,2024-02-13,23:14:16,https://svn.apache.org/repos/asf/thrift,3788,2021-08-12,2008-05-11,0,0,30,126
176,2024-02-13,23:14:46,https://svn.apache.org/repos/asf/tika,3378,2023-12-13,2007-03-23,0,1,40,84
177,2024-02-13,23:15:26,https://svn.apache.org/repos/asf/tiles,1810,2018-12-24,2007-01-14,0,0,19,95
178,2024-02-13,23:15:45,https://svn.apache.org/repos/asf/tinkerpop,964,2023-12-05,2015-01-21,0,1,102,9
179,2024-02-13,23:17:27,https://svn.apache.org/repos/asf/tomcat,68698,2024-02-13,2005-08-05,1,1,593,115
180,2024-02-13,23:27:20,https://svn.apache.org/repos/asf/tomee,15341,2022-05-23,2006-09-15,0,0,174,88
181,2024-02-13,23:30:14,https://svn.apache.org/repos/asf/trafficserver,3354,2019-06-17,2009-10-10,0,0,33,101
182,2024-02-13,23:30:47,https://svn.apache.org/repos/asf/turbine,6252,2022-08-15,2005-06-22,0,0,26,240
183,2024-02-13,23:31:13,https://svn.apache.org/repos/asf/tuscany,27763,2016-08-03,2005-12-14,0,0,208,133
184,2024-02-13,23:34:42,https://svn.apache.org/repos/asf/twill,52,2020-01-30,2013-12-15,0,0,3,17
185,2024-02-13,23:34:45,https://svn.apache.org/repos/asf/uima,21683,2024-02-08,2006-10-31,1,1,217,99
186,2024-02-13,23:38:22,https://svn.apache.org/repos/asf/unomi,234,2023-11-21,2015-10-13,0,1,9,26
187,2024-02-13,23:38:32,https://svn.apache.org/repos/asf/usergrid,76,2015-08-21,2013-11-14,0,0,2,38
188,2024-02-13,23:38:34,https://svn.apache.org/repos/asf/vcl,3393,2019-07-29,2008-10-03,0,0,33,102
189,2024-02-13,23:39:07,https://svn.apache.org/repos/asf/velocity,3978,2020-03-26,2005-06-14,0,0,32,124
190,2024-02-13,23:39:39,https://svn.apache.org/repos/asf/vxquery,681,2019-01-11,2009-07-17,0,0,12,56
191,2024-02-13,23:39:51,https://svn.apache.org/repos/asf/webservices,64788,2023-11-01,2004-09-02,0,1,416,155
192,2024-02-13,23:46:47,https://svn.apache.org/repos/asf/whirr,675,2015-07-12,2010-05-18,0,0,9,75
193,2024-02-13,23:46:56,https://svn.apache.org/repos/asf/wicket,18241,2016-11-17,2006-10-10,0,0,132,138
194,2024-02-13,23:49:08,https://svn.apache.org/repos/asf/wink,1329,2017-05-14,2009-05-27,0,0,14,94
195,2024-02-13,23:49:22,https://svn.apache.org/repos/asf/wookie,2292,2016-04-10,2009-07-18,0,0,24,95
196,2024-02-13,23:49:46,https://svn.apache.org/repos/asf/xalan,11652,2023-08-09,2005-11-13,0,1,69,168
197,2024-02-13,23:50:55,https://svn.apache.org/repos/asf/xerces,15388,2024-01-23,2005-05-22,1,1,100,153
198,2024-02-13,23:52:35,https://svn.apache.org/repos/asf/xml,8868,2014-10-27,2003-11-04,0,0,41,216
199,2024-02-13,23:53:16,https://svn.apache.org/repos/asf/xmlbeans,2146,2024-02-03,2004-12-07,1,1,17,126
200,2024-02-13,23:53:33,https://svn.apache.org/repos/asf/xmlgraphics,16642,2023-02-21,2005-02-10,0,1,124,134
201,2024-02-13,23:55:37,https://svn.apache.org/repos/asf/zeppelin,356,2023-01-01,2015-01-05,0,0,7,50
202,2024-02-13,23:55:44,https://svn.apache.org/repos/asf/zest,69,2016-12-23,2015-03-26,0,0,4,17
203,2024-02-13,23:55:48,https://svn.apache.org/repos/asf/zookeeper,2450,2017-11-17,2010-11-23,0,0,28,87
204,2024-02-13,23:56:16,https://svn.apache.org/repos/asf/incubator,340136,2024-02-13,2003-12-02,1,1,2262,150
